term,window,conf.low,estimate,conf.high,p.value,outcome
OPE,prenatal,-0.029,0.016,0.060,0.566,mI
OPE,prenatal,-0.024,0.039,0.102,0.310,NAA
OPE,prenatal,-0.037,0.001,0.039,0.965,Cr
OPE,prenatal,-0.028,-0.015,-0.003,0.040,Cho
OPE,prenatal,-0.022,0.023,0.068,0.400,Glu
OPE,prenatal,0.001,0.059,0.116,0.095,Glx
OPE,birth,-0.044,0.004,0.052,0.890,mI
OPE,birth,-0.005,0.060,0.125,0.131,NAA
OPE,birth,-0.042,-0.003,0.036,0.911,Cr
OPE,birth,-0.022,-0.009,0.004,0.253,Cho
OPE,birth,-0.035,0.013,0.061,0.663,Glu
OPE,birth,-0.098,-0.036,0.027,0.352,Glx
OPE,3y,-0.026,0.029,0.084,0.383,mI
OPE,3y,-0.054,0.027,0.107,0.588,NAA
OPE,3y,-0.052,-0.005,0.043,0.871,Cr
OPE,3y,-0.010,0.006,0.021,0.548,Cho
OPE,3y,-0.012,0.040,0.093,0.206,Glu
OPE,3y,-0.023,0.042,0.107,0.290,Glx
OPE,5-8y,-0.085,-0.023,0.038,0.534,mI
OPE,5-8y,-0.143,-0.063,0.017,0.201,NAA
OPE,5-8y,-0.052,-0.002,0.049,0.958,Cr
OPE,5-8y,-0.018,0.000,0.018,0.972,Cho
OPE,5-8y,-0.098,-0.038,0.023,0.308,Glu
OPE,5-8y,-0.116,-0.044,0.028,0.315,Glx
OPE,8y,-0.038,0.009,0.056,0.750,mI
OPE,8y,-0.069,-0.005,0.059,0.904,NAA
OPE,8y,-0.045,-0.006,0.034,0.816,Cr
OPE,8y,-0.011,0.002,0.015,0.809,Cho
OPE,8y,-0.019,0.026,0.071,0.342,Glu
OPE,8y,-0.017,0.042,0.101,0.247,Glx
