term,conf.low,estimate,conf.high,p.value,outcome
BCEtP,-0.012711742480940369,0.051458793951040985,0.11562933038302234,0.18716261951355295,mI
BCEtP,-0.05911685416101823,0.05817733132047328,0.1754715168019648,0.414592109960092,NAA
BCEtP,-0.04234292956954189,0.02010731709343384,0.08255756375640957,0.5963899293545091,Cr
BCEtP,-0.022203144349847673,0.002099236471715364,0.026401617293278404,0.8870150456309301,Cho
BCEtP,-0.05043715477742485,0.032485361555315846,0.11540787788805654,0.5193286305774886,Glu
BCEtP,-0.10914400957731787,3.319333466324575e-4,0.10980787627058278,0.9960207822233755,Glx
BDCPP,-0.10271671092683433,0.004178987223078921,0.11107468537299219,0.9487281586993803,mI
BDCPP,-0.08493534994090886,0.0420594068003121,0.16905416354153308,0.5859191119174034,NAA
BDCPP,-0.05919805840622707,0.03199778452276939,0.12319362745176585,0.5638530093151999,Cr
BDCPP,-0.001741767704670931,0.032606360187434263,0.06695448807953946,0.11841894741439818,Cho
BDCPP,-0.07844830218243638,0.013657475659191553,0.10576325350081948,0.8073086967062303,Glu
BDCPP,-0.05573739865203251,0.05622671095117613,0.16819082055438478,0.4087921608051849,Glx
DBuP,-0.20000768690137963,-0.05992758899530432,0.080152508910771,0.48162963776061574,mI
DBuP,-0.3231328377662337,-0.13391828007583065,0.055296277614572426,0.24435928579260602,NAA
DBuP,-0.07609501884428571,0.02724076116237693,0.13057654116903958,0.6645742215433739,Cr
DBuP,-0.026919661242582056,0.013443930767630674,0.053807522777843404,0.583793127102834,Cho
DBuP,-0.14335951600834443,-0.01842084418575064,0.10651782763684314,0.8083805749708421,Glu
DBuP,-0.21528433496938637,-0.06896864556935768,0.07734704383067102,0.4381431388491914,Glx
DPHP,-0.15451461673032701,-0.03784527632925904,0.07882406407180892,0.5936468978173992,mI
DPHP,-0.3474382099055121,-0.1574163084111056,0.03260559308330088,0.1730037253868426,NAA
DPHP,-0.15721033863622433,-0.04103391656862445,0.07514250549897544,0.5612620038011318,Cr
DPHP,-0.05803571212885503,-0.019842328422146404,0.018351055284562216,0.39280655563249633,Cho
DPHP,-0.25283622700373193,-0.12117440474722017,0.010487417509291566,0.13006791587739785,Glu
DPHP,-0.18258762614339427,-0.021603632648036646,0.139380360847321,0.8252987208552695,Glx
