term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-0.013,0.051,0.116,0.18716261951355295,mI
BCEtP,prenatal,-0.013,0.051,0.116,0.18716261951355295,mI
BCEtP,3y,-0.013,0.051,0.116,0.18716261951355295,mI
BDCPP,birth,-0.103,0.004,0.111,0.9487281586993803,mI
BDCPP,prenatal,-0.103,0.004,0.111,0.9487281586993803,mI
BDCPP,3y,-0.103,0.004,0.111,0.9487281586993803,mI
DBuP,birth,-0.200,-0.060,0.080,0.48162963776061574,mI
DBuP,prenatal,-0.200,-0.060,0.080,0.48162963776061574,mI
DBuP,3y,-0.200,-0.060,0.080,0.48162963776061574,mI
DPHP,birth,-0.155,-0.038,0.079,0.5936468978173992,mI
DPHP,prenatal,-0.155,-0.038,0.079,0.5936468978173992,mI
DPHP,3y,-0.155,-0.038,0.079,0.5936468978173992,mI
BCEtP,birth,-0.059,0.058,0.175,0.414592109960092,NAA
BCEtP,prenatal,-0.059,0.058,0.175,0.414592109960092,NAA
BCEtP,3y,-0.059,0.058,0.175,0.414592109960092,NAA
BDCPP,birth,-0.085,0.042,0.169,0.5859191119174034,NAA
BDCPP,prenatal,-0.085,0.042,0.169,0.5859191119174034,NAA
BDCPP,3y,-0.085,0.042,0.169,0.5859191119174034,NAA
DBuP,birth,-0.323,-0.134,0.055,0.24435928579260602,NAA
DBuP,prenatal,-0.323,-0.134,0.055,0.24435928579260602,NAA
DBuP,3y,-0.323,-0.134,0.055,0.24435928579260602,NAA
DPHP,birth,-0.223,0.069,0.360,0.6977440003074941,NAA
DPHP,prenatal,-0.099,0.191,0.481,0.277592100695079,NAA
DPHP,3y,-0.347,-0.157,0.033,0.1730037253868426,NAA
BCEtP,birth,-0.042,0.020,0.083,0.5963899293545091,Cr
BCEtP,prenatal,-0.042,0.020,0.083,0.5963899293545091,Cr
BCEtP,3y,-0.042,0.020,0.083,0.5963899293545091,Cr
BDCPP,birth,-0.059,0.032,0.123,0.5638530093151999,Cr
BDCPP,prenatal,-0.059,0.032,0.123,0.5638530093151999,Cr
BDCPP,3y,-0.059,0.032,0.123,0.5638530093151999,Cr
DBuP,birth,-0.076,0.027,0.131,0.6645742215433739,Cr
DBuP,prenatal,-0.076,0.027,0.131,0.6645742215433739,Cr
DBuP,3y,-0.076,0.027,0.131,0.6645742215433739,Cr
DPHP,birth,-0.157,-0.041,0.075,0.5612620038011318,Cr
DPHP,prenatal,-0.081,0.094,0.270,0.3750921591240798,Cr
DPHP,3y,-0.157,-0.041,0.075,0.5612620038011318,Cr
BCEtP,birth,-0.022,0.002,0.026,0.8870150456309301,Cho
BCEtP,prenatal,-0.022,0.002,0.026,0.8870150456309301,Cho
BCEtP,3y,-0.022,0.002,0.026,0.8870150456309301,Cho
BDCPP,birth,-0.002,0.033,0.067,0.11841894741439818,Cho
BDCPP,prenatal,-0.067,-0.014,0.039,0.6673716586829986,Cho
BDCPP,3y,-0.002,0.033,0.067,0.11841894741439818,Cho
DBuP,birth,-0.027,0.013,0.054,0.583793127102834,Cho
DBuP,prenatal,-0.027,0.013,0.054,0.583793127102834,Cho
DBuP,3y,-0.027,0.013,0.054,0.583793127102834,Cho
DPHP,birth,-0.058,-0.020,0.018,0.39280655563249633,Cho
DPHP,prenatal,-0.058,-0.020,0.018,0.39280655563249633,Cho
DPHP,3y,-0.058,-0.020,0.018,0.39280655563249633,Cho
BCEtP,birth,-0.050,0.032,0.115,0.5193286305774886,Glu
BCEtP,prenatal,-0.050,0.032,0.115,0.5193286305774886,Glu
BCEtP,3y,-0.050,0.032,0.115,0.5193286305774886,Glu
BDCPP,birth,-0.078,0.014,0.106,0.8073086967062303,Glu
BDCPP,prenatal,-0.078,0.014,0.106,0.8073086967062303,Glu
BDCPP,3y,-0.078,0.014,0.106,0.8073086967062303,Glu
DBuP,birth,-0.143,-0.018,0.107,0.8083805749708421,Glu
DBuP,prenatal,-0.143,-0.018,0.107,0.8083805749708421,Glu
DBuP,3y,-0.143,-0.018,0.107,0.8083805749708421,Glu
DPHP,birth,-0.253,-0.121,0.010,0.13006791587739785,Glu
DPHP,prenatal,-0.102,0.104,0.311,0.40602538142803035,Glu
DPHP,3y,-0.117,0.116,0.349,0.4110684807148336,Glu
BCEtP,birth,-0.109,0.000,0.110,0.9960207822233755,Glx
BCEtP,prenatal,-0.109,0.000,0.110,0.9960207822233755,Glx
BCEtP,3y,-0.109,0.000,0.110,0.9960207822233755,Glx
BDCPP,birth,-0.056,0.056,0.168,0.4087921608051849,Glx
BDCPP,prenatal,-0.056,0.056,0.168,0.4087921608051849,Glx
BDCPP,3y,-0.056,0.056,0.168,0.4087921608051849,Glx
DBuP,birth,-0.215,-0.069,0.077,0.4381431388491914,Glx
DBuP,prenatal,-0.215,-0.069,0.077,0.4381431388491914,Glx
DBuP,3y,-0.215,-0.069,0.077,0.4381431388491914,Glx
DPHP,birth,-0.183,-0.022,0.139,0.8252987208552695,Glx
DPHP,prenatal,0.016,0.269,0.523,0.08085791310730701,Glx
DPHP,3y,-0.183,-0.022,0.139,0.8252987208552695,Glx
