term,window,conf.low,estimate,conf.high,p.value,outcome
OPE,prenatal,-0.008,0.005,0.018,0.557,lh_bankssts
OPE,prenatal,-0.004,0.011,0.025,0.220,rh_bankssts
OPE,prenatal,-0.009,0.009,0.026,0.417,lh_caudalanteriorcingulate
OPE,prenatal,-0.001,0.015,0.031,0.122,rh_caudalanteriorcingulate
OPE,prenatal,-0.020,0.004,0.027,0.807,lh_frontalpole
OPE,prenatal,-0.011,0.009,0.029,0.463,rh_frontalpole
OPE,prenatal,-0.001,0.012,0.024,0.133,lh_isthmuscingulate
OPE,prenatal,-0.007,0.008,0.023,0.387,rh_isthmuscingulate
OPE,prenatal,-0.014,-0.003,0.008,0.639,lh_parsopercularis
OPE,prenatal,-0.007,0.004,0.014,0.563,rh_parsopercularis
OPE,prenatal,-0.020,-0.003,0.013,0.748,lh_parsorbitalis
OPE,prenatal,-0.024,-0.007,0.009,0.460,rh_parsorbitalis
OPE,prenatal,0.006,0.017,0.028,0.015,lh_posteriorcingulate
OPE,prenatal,-0.000,0.011,0.023,0.107,rh_posteriorcingulate
OPE,prenatal,-0.021,-0.006,0.009,0.500,lh_rostralanteriorcingulate
OPE,prenatal,-0.011,0.005,0.020,0.634,rh_rostralanteriorcingulate
OPE,prenatal,-0.037,-0.013,0.011,0.378,lh_temporalpole
OPE,prenatal,-0.026,-0.000,0.025,0.975,rh_temporalpole
OPE,prenatal,-0.013,-0.004,0.006,0.512,caudalmiddlefrontal
OPE,prenatal,-0.012,-0.003,0.006,0.554,cuneus
OPE,prenatal,-0.044,-0.020,0.004,0.178,entorhinal
OPE,prenatal,-0.011,-0.002,0.007,0.689,fusiform
OPE,prenatal,-0.008,0.001,0.010,0.853,inferiorparietal
OPE,prenatal,-0.008,0.002,0.013,0.748,inferiortemporal
OPE,prenatal,-0.009,-0.001,0.007,0.824,lateraloccipital
OPE,prenatal,-0.015,-0.004,0.007,0.585,lateralorbitofrontal
OPE,prenatal,-0.013,-0.004,0.005,0.481,lingual
OPE,prenatal,-0.010,0.001,0.012,0.875,medialorbitofrontal
OPE,prenatal,-0.005,0.005,0.015,0.436,middletemporal
OPE,prenatal,-0.007,0.009,0.025,0.343,parahippocampal
OPE,prenatal,-0.002,0.009,0.020,0.197,paracentral
OPE,prenatal,-0.013,-0.003,0.007,0.639,parstriangularis
OPE,prenatal,-0.007,0.002,0.012,0.698,pericalcarine
OPE,prenatal,-0.007,0.001,0.010,0.787,postcentral
OPE,prenatal,-0.007,0.003,0.012,0.636,precentral
