term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-0.026,-0.004,0.018,0.7433226274632105,lh_bankssts
BCEtP,prenatal,-0.026,-0.004,0.018,0.7433226274632105,lh_bankssts
BCEtP,3y,-0.026,-0.004,0.018,0.7433226274632105,lh_bankssts
BDCPP,birth,-0.018,0.012,0.043,0.5086437009313505,lh_bankssts
BDCPP,prenatal,-0.018,0.012,0.043,0.5086437009313505,lh_bankssts
BDCPP,3y,-0.018,0.012,0.043,0.5086437009313505,lh_bankssts
DBuP,birth,-0.041,-0.013,0.015,0.43611634508305686,lh_bankssts
DBuP,prenatal,-0.041,-0.013,0.015,0.43611634508305686,lh_bankssts
DBuP,3y,-0.041,-0.013,0.015,0.43611634508305686,lh_bankssts
DPHP,birth,-0.017,0.013,0.043,0.46716291830333445,lh_bankssts
DPHP,prenatal,-0.017,0.013,0.043,0.46716291830333445,lh_bankssts
DPHP,3y,-0.017,0.013,0.043,0.46716291830333445,lh_bankssts
BCEtP,birth,-0.028,-0.002,0.023,0.8881535567323336,rh_bankssts
BCEtP,prenatal,-0.028,-0.002,0.023,0.8881535567323336,rh_bankssts
BCEtP,3y,-0.028,-0.002,0.023,0.8881535567323336,rh_bankssts
BDCPP,birth,-0.031,0.005,0.041,0.82790222338253,rh_bankssts
BDCPP,prenatal,-0.031,0.005,0.041,0.82790222338253,rh_bankssts
BDCPP,3y,-0.031,0.005,0.041,0.82790222338253,rh_bankssts
DBuP,birth,-0.042,-0.009,0.025,0.665521357234128,rh_bankssts
DBuP,prenatal,-0.042,-0.009,0.025,0.665521357234128,rh_bankssts
DBuP,3y,-0.042,-0.009,0.025,0.665521357234128,rh_bankssts
DPHP,birth,-0.023,0.010,0.044,0.6174726153138341,rh_bankssts
DPHP,prenatal,-0.023,0.010,0.044,0.6174726153138341,rh_bankssts
DPHP,3y,-0.023,0.010,0.044,0.6174726153138341,rh_bankssts
BCEtP,birth,-0.055,-0.021,0.012,0.2982504665296126,lh_caudalanteriorcingulate
BCEtP,prenatal,-0.033,0.019,0.071,0.543272151876204,lh_caudalanteriorcingulate
BCEtP,3y,-0.055,-0.021,0.012,0.2982504665296126,lh_caudalanteriorcingulate
BDCPP,birth,-0.072,-0.036,-0.001,0.0953582234667234,lh_caudalanteriorcingulate
BDCPP,prenatal,-0.048,0.010,0.069,0.7720463853002437,lh_caudalanteriorcingulate
BDCPP,3y,-0.072,-0.036,-0.001,0.0953582234667234,lh_caudalanteriorcingulate
DBuP,birth,-0.060,-0.019,0.022,0.45165704545728,lh_caudalanteriorcingulate
DBuP,prenatal,-0.060,-0.019,0.022,0.45165704545728,lh_caudalanteriorcingulate
DBuP,3y,-0.060,-0.019,0.022,0.45165704545728,lh_caudalanteriorcingulate
DPHP,birth,-0.046,-0.008,0.030,0.7302176711007264,lh_caudalanteriorcingulate
DPHP,prenatal,-0.046,-0.008,0.030,0.7302176711007264,lh_caudalanteriorcingulate
DPHP,3y,-0.046,-0.008,0.030,0.7302176711007264,lh_caudalanteriorcingulate
BCEtP,birth,-0.037,-0.007,0.024,0.7160632788751053,rh_caudalanteriorcingulate
BCEtP,prenatal,-0.037,-0.007,0.024,0.7160632788751053,rh_caudalanteriorcingulate
BCEtP,3y,-0.037,-0.007,0.024,0.7160632788751053,rh_caudalanteriorcingulate
BDCPP,birth,-0.055,-0.022,0.011,0.26413154235555103,rh_caudalanteriorcingulate
BDCPP,prenatal,-0.055,-0.022,0.011,0.26413154235555103,rh_caudalanteriorcingulate
BDCPP,3y,-0.055,-0.022,0.011,0.26413154235555103,rh_caudalanteriorcingulate
DBuP,birth,-0.030,0.009,0.048,0.6973070165795856,rh_caudalanteriorcingulate
DBuP,prenatal,-0.030,0.009,0.048,0.6973070165795856,rh_caudalanteriorcingulate
DBuP,3y,-0.030,0.009,0.048,0.6973070165795856,rh_caudalanteriorcingulate
DPHP,birth,-0.033,0.002,0.037,0.9345790085849158,rh_caudalanteriorcingulate
DPHP,prenatal,-0.033,0.002,0.037,0.9345790085849158,rh_caudalanteriorcingulate
DPHP,3y,-0.033,0.002,0.037,0.9345790085849158,rh_caudalanteriorcingulate
BCEtP,birth,-0.070,-0.032,0.007,0.17845705152962998,lh_frontalpole
BCEtP,prenatal,-0.070,-0.032,0.007,0.17845705152962998,lh_frontalpole
BCEtP,3y,-0.070,-0.032,0.007,0.17845705152962998,lh_frontalpole
BDCPP,birth,-0.065,-0.019,0.028,0.5065885062215725,lh_frontalpole
BDCPP,prenatal,-0.065,-0.019,0.028,0.5065885062215725,lh_frontalpole
BDCPP,3y,-0.065,-0.019,0.028,0.5065885062215725,lh_frontalpole
DBuP,birth,-0.077,-0.020,0.037,0.562864148365422,lh_frontalpole
DBuP,prenatal,-0.077,-0.020,0.037,0.562864148365422,lh_frontalpole
DBuP,3y,-0.077,-0.020,0.037,0.562864148365422,lh_frontalpole
DPHP,birth,-0.031,0.015,0.061,0.5826641508089714,lh_frontalpole
