term,window,conf.low,estimate,conf.high,p.value,outcome
OPE,prenatal,-0.019,0.020,0.060,0.397,lh_bankssts
OPE,prenatal,-0.005,0.024,0.053,0.172,rh_bankssts
OPE,prenatal,-0.006,0.029,0.064,0.175,lh_caudalanteriorcingulate
OPE,prenatal,-0.047,-0.010,0.028,0.666,rh_caudalanteriorcingulate
OPE,prenatal,-0.005,0.009,0.023,0.295,lh_frontalpole
OPE,prenatal,0.000,0.016,0.032,0.094,rh_frontalpole
OPE,prenatal,-0.048,-0.021,0.005,0.188,lh_temporalpole
OPE,prenatal,-0.031,-0.002,0.027,0.909,rh_temporalpole
OPE,prenatal,-0.065,0.011,0.086,0.814,caudalmiddlefrontal
OPE,prenatal,-0.079,-0.039,0.001,0.107,cuneus
OPE,prenatal,-0.005,0.022,0.048,0.182,entorhinal
OPE,prenatal,-0.067,0.014,0.095,0.774,fusiform
OPE,prenatal,-0.086,0.042,0.169,0.591,inferiorparietal
OPE,prenatal,-0.050,0.054,0.157,0.397,inferiortemporal
OPE,prenatal,-0.024,0.003,0.029,0.869,isthmuscingulate
OPE,prenatal,-0.145,-0.036,0.073,0.587,lateraloccipital
OPE,prenatal,-0.035,0.030,0.095,0.444,lateralorbitofrontal
OPE,prenatal,-0.120,-0.043,0.034,0.361,lingual
OPE,prenatal,-0.027,0.016,0.059,0.535,medialorbitofrontal
OPE,prenatal,-0.017,0.084,0.185,0.172,middletemporal
OPE,prenatal,-0.018,0.001,0.020,0.919,parahippocampal
OPE,prenatal,0.009,0.045,0.080,0.040,paracentral
OPE,prenatal,-0.062,-0.015,0.032,0.600,parsopercularis
OPE,prenatal,-0.007,0.018,0.043,0.245,parsorbitalis
OPE,prenatal,-0.047,-0.001,0.045,0.975,parstriangularis
OPE,prenatal,-0.050,-0.018,0.014,0.358,pericalcarine
OPE,prenatal,-0.027,0.056,0.139,0.269,postcentral
OPE,prenatal,-0.009,0.025,0.058,0.234,posteriorcingulate
OPE,prenatal,0.025,0.127,0.229,0.043,precentral
