term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-0.062,0.006,0.074,0.8888447477949497,lh_bankssts
BCEtP,prenatal,-0.062,0.006,0.074,0.8888447477949497,lh_bankssts
BCEtP,3y,-0.062,0.006,0.074,0.8888447477949497,lh_bankssts
BDCPP,birth,-0.034,0.041,0.117,0.3676567289011332,lh_bankssts
BDCPP,prenatal,-0.034,0.041,0.117,0.3676567289011332,lh_bankssts
BDCPP,3y,-0.034,0.041,0.117,0.3676567289011332,lh_bankssts
DBuP,birth,-0.117,-0.022,0.074,0.7097153516723356,lh_bankssts
DBuP,prenatal,-0.117,-0.022,0.074,0.7097153516723356,lh_bankssts
DBuP,3y,-0.117,-0.022,0.074,0.7097153516723356,lh_bankssts
DPHP,birth,-0.064,0.005,0.074,0.9067181339401498,lh_bankssts
DPHP,prenatal,-0.064,0.005,0.074,0.9067181339401498,lh_bankssts
DPHP,3y,-0.064,0.005,0.074,0.9067181339401498,lh_bankssts
BCEtP,birth,-0.036,0.007,0.049,0.7945026929095748,rh_bankssts
BCEtP,prenatal,-0.036,0.007,0.049,0.7945026929095748,rh_bankssts
BCEtP,3y,-0.036,0.007,0.049,0.7945026929095748,rh_bankssts
BDCPP,birth,-0.098,-0.028,0.042,0.512167939304665,rh_bankssts
BDCPP,prenatal,-0.098,-0.028,0.042,0.512167939304665,rh_bankssts
BDCPP,3y,-0.098,-0.028,0.042,0.512167939304665,rh_bankssts
DBuP,birth,-0.060,0.018,0.096,0.7014312031401868,rh_bankssts
DBuP,prenatal,-0.060,0.018,0.096,0.7014312031401868,rh_bankssts
DBuP,3y,-0.060,0.018,0.096,0.7014312031401868,rh_bankssts
DPHP,birth,-0.066,-0.006,0.055,0.8788891195943548,rh_bankssts
DPHP,prenatal,-0.066,-0.006,0.055,0.8788891195943548,rh_bankssts
DPHP,3y,-0.066,-0.006,0.055,0.8788891195943548,rh_bankssts
