from,to,window,effect,dashes,estimate
1,7,prenatal,total,FALSE,positive
1,4,birth,total,FALSE,positive
1,6,birth,total,FALSE,positive
1,7,birth,total,FALSE,positive
1,10,birth,total,FALSE,positive
3,11,birth,total,FALSE,negative
2,5,3y,total,FALSE,positive
1,7,3y,total,FALSE,positive
3,9,3y,total,FALSE,positive
2,13,3y,total,FALSE,positive
1,14,3y,total,FALSE,positive
1,8,5-8y,total,FALSE,negative
3,8,5-8y,total,FALSE,negative
2,8,5-8y,total,FALSE,negative
3,9,5-8y,total,FALSE,positive
3,12,5-8y,total,FALSE,negative
1,15,5-8y,total,FALSE,positive
3,15,5-8y,total,FALSE,positive
