from,to,window,effect,dashes,estimate
1,5,prenatal,total,FALSE,positive
2,9,prenatal,total,FALSE,positive
2,6,birth,total,FALSE,positive
2,8,birth,total,FALSE,positive
2,9,birth,total,FALSE,positive
2,12,birth,total,FALSE,positive
3,13,birth,total,FALSE,negative
1,7,3y,total,FALSE,positive
2,9,3y,total,FALSE,positive
3,11,3y,total,FALSE,positive
1,15,3y,total,FALSE,positive
2,16,3y,total,FALSE,positive
1,18,3y,total,FALSE,positive
2,10,5-8y,total,FALSE,negative
3,10,5-8y,total,FALSE,negative
1,10,5-8y,total,FALSE,negative
3,11,5-8y,total,FALSE,positive
3,14,5-8y,total,FALSE,negative
2,17,5-8y,total,FALSE,positive
3,17,5-8y,total,FALSE,positive
3,19,5-8y,total,FALSE,positive
1,19,5-8y,total,FALSE,positive
2,20,5-8y,total,FALSE,positive
3,21,5-8y,total,FALSE,positive
4,21,5-8y,total,FALSE,positive
