term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-1.113,0.431,1.975,0.6462649542963177,ChAMP_Index_Verbal
BCEtP,prenatal,-1.113,0.431,1.975,0.6462649542963177,ChAMP_Index_Verbal
BCEtP,3y,-1.113,0.431,1.975,0.6462649542963177,ChAMP_Index_Verbal
BDCPP,birth,-2.426,-0.133,2.161,0.924146640702789,ChAMP_Index_Verbal
BDCPP,prenatal,-2.426,-0.133,2.161,0.924146640702789,ChAMP_Index_Verbal
BDCPP,3y,-2.426,-0.133,2.161,0.924146640702789,ChAMP_Index_Verbal
DBuP,birth,-2.637,-0.212,2.212,0.8854223749185303,ChAMP_Index_Verbal
DBuP,prenatal,-2.637,-0.212,2.212,0.8854223749185303,ChAMP_Index_Verbal
DBuP,3y,-2.637,-0.212,2.212,0.8854223749185303,ChAMP_Index_Verbal
DPHP,birth,-2.804,-0.551,1.702,0.687673575322852,ChAMP_Index_Verbal
DPHP,prenatal,-2.804,-0.551,1.702,0.687673575322852,ChAMP_Index_Verbal
DPHP,3y,-2.804,-0.551,1.702,0.687673575322852,ChAMP_Index_Verbal
BCEtP,birth,-3.011,-1.390,0.230,0.15816755319314268,ChAMP_Index_Visual
BCEtP,prenatal,-3.011,-1.390,0.230,0.15816755319314268,ChAMP_Index_Visual
BCEtP,3y,-3.011,-1.390,0.230,0.15816755319314268,ChAMP_Index_Visual
BDCPP,birth,-3.396,-1.313,0.770,0.299926690520806,ChAMP_Index_Visual
BDCPP,prenatal,-3.396,-1.313,0.770,0.299926690520806,ChAMP_Index_Visual
BDCPP,3y,-3.396,-1.313,0.770,0.299926690520806,ChAMP_Index_Visual
DBuP,birth,-0.437,1.348,3.133,0.21404520573076924,ChAMP_Index_Visual
DBuP,prenatal,-4.807,-1.710,1.386,0.3632858955754814,ChAMP_Index_Visual
DBuP,3y,-0.437,1.348,3.133,0.21404520573076924,ChAMP_Index_Visual
DPHP,birth,-2.334,-0.043,2.247,0.9752379464639856,ChAMP_Index_Visual
DPHP,prenatal,-2.334,-0.043,2.247,0.9752379464639856,ChAMP_Index_Visual
DPHP,3y,-2.334,-0.043,2.247,0.9752379464639856,ChAMP_Index_Visual
BCEtP,birth,-2.186,-0.557,1.072,0.5738280506751878,ChAMP_Index_Immediate
BCEtP,prenatal,-2.186,-0.557,1.072,0.5738280506751878,ChAMP_Index_Immediate
BCEtP,3y,-2.186,-0.557,1.072,0.5738280506751878,ChAMP_Index_Immediate
BDCPP,birth,-2.915,-0.730,1.455,0.5828437183735588,ChAMP_Index_Immediate
BDCPP,prenatal,-2.915,-0.730,1.455,0.5828437183735588,ChAMP_Index_Immediate
BDCPP,3y,-2.915,-0.730,1.455,0.5828437183735588,ChAMP_Index_Immediate
DBuP,birth,-1.949,-0.162,1.626,0.8818787717425495,ChAMP_Index_Immediate
DBuP,prenatal,-1.949,-0.162,1.626,0.8818787717425495,ChAMP_Index_Immediate
DBuP,3y,-1.949,-0.162,1.626,0.8818787717425495,ChAMP_Index_Immediate
DPHP,birth,-2.283,-0.221,1.842,0.8601657045828922,ChAMP_Index_Immediate
DPHP,prenatal,-2.283,-0.221,1.842,0.8601657045828922,ChAMP_Index_Immediate
DPHP,3y,-2.283,-0.221,1.842,0.8601657045828922,ChAMP_Index_Immediate
BCEtP,birth,-2.117,-0.568,0.982,0.5468066511925403,ChAMP_Index_Delayed
BCEtP,prenatal,-2.117,-0.568,0.982,0.5468066511925403,ChAMP_Index_Delayed
BCEtP,3y,-2.117,-0.568,0.982,0.5468066511925403,ChAMP_Index_Delayed
BDCPP,birth,-3.044,-0.907,1.230,0.48496987441643746,ChAMP_Index_Delayed
BDCPP,prenatal,-3.044,-0.907,1.230,0.48496987441643746,ChAMP_Index_Delayed
BDCPP,3y,-1.562,1.760,5.083,0.3831542785371881,ChAMP_Index_Delayed
DBuP,birth,-0.510,1.381,3.271,0.22960866194017104,ChAMP_Index_Delayed
DBuP,prenatal,-0.510,1.381,3.271,0.22960866194017104,ChAMP_Index_Delayed
DBuP,3y,-0.510,1.381,3.271,0.22960866194017104,ChAMP_Index_Delayed
DPHP,birth,-2.336,-0.472,1.391,0.6767716234711048,ChAMP_Index_Delayed
DPHP,prenatal,-2.336,-0.472,1.391,0.6767716234711048,ChAMP_Index_Delayed
DPHP,3y,-2.336,-0.472,1.391,0.6767716234711048,ChAMP_Index_Delayed
BCEtP,birth,-2.248,-0.641,0.965,0.5115595277566924,ChAMP_Index_Total_Memory
BCEtP,prenatal,-2.248,-0.641,0.965,0.5115595277566924,ChAMP_Index_Total_Memory
BCEtP,3y,-2.248,-0.641,0.965,0.5115595277566924,ChAMP_Index_Total_Memory
BDCPP,birth,-3.071,-0.860,1.351,0.5224428286422167,ChAMP_Index_Total_Memory
BDCPP,prenatal,-3.071,-0.860,1.351,0.5224428286422167,ChAMP_Index_Total_Memory
BDCPP,3y,-3.071,-0.860,1.351,0.5224428286422167,ChAMP_Index_Total_Memory
DBuP,birth,-1.088,0.783,2.654,0.49132796886574837,ChAMP_Index_Total_Memory
DBuP,prenatal,-1.088,0.783,2.654,0.49132796886574837,ChAMP_Index_Total_Memory
DBuP,3y,-1.088,0.783,2.654,0.49132796886574837,ChAMP_Index_Total_Memory
DPHP,birth,-2.339,-0.332,1.674,0.7852088516821653,ChAMP_Index_Total_Memory
DPHP,prenatal,-2.339,-0.332,1.674,0.7852088516821653,ChAMP_Index_Total_Memory
DPHP,3y,-2.339,-0.332,1.674,0.7852088516821653,ChAMP_Index_Total_Memory
BCEtP,birth,-0.726,0.962,2.649,0.3485846885993995,Pegboard_DH_Seconds
BCEtP,prenatal,-0.726,0.962,2.649,0.3485846885993995,Pegboard_DH_Seconds
BCEtP,3y,-0.726,0.962,2.649,0.3485846885993995,Pegboard_DH_Seconds
BDCPP,birth,-3.892,-1.257,1.379,0.43234417108584755,Pegboard_DH_Seconds
BDCPP,prenatal,-0.155,1.494,3.143,0.13605534741153313,Pegboard_DH_Seconds
BDCPP,3y,-0.155,1.494,3.143,0.13605534741153313,Pegboard_DH_Seconds
DBuP,birth,-4.377,-1.034,2.308,0.6103184208263839,Pegboard_DH_Seconds
DBuP,prenatal,-4.738,-1.258,2.221,0.5515138489725946,Pegboard_DH_Seconds
DBuP,3y,-4.132,-1.011,2.109,0.5935694685590761,Pegboard_DH_Seconds
DPHP,birth,-1.906,-0.205,1.497,0.8432630948856589,Pegboard_DH_Seconds
DPHP,prenatal,-1.906,-0.205,1.497,0.8432630948856589,Pegboard_DH_Seconds
DPHP,3y,-1.906,-0.205,1.497,0.8432630948856589,Pegboard_DH_Seconds
BCEtP,birth,-0.371,-0.113,0.145,0.47121480271662797,Pegboard_DH_Drops
BCEtP,prenatal,-0.272,-0.031,0.211,0.8349180056710184,Pegboard_DH_Drops
BCEtP,3y,-0.339,-0.072,0.195,0.657896124065676,Pegboard_DH_Drops
BDCPP,birth,-0.026,0.155,0.337,0.1591055207837807,Pegboard_DH_Drops
BDCPP,prenatal,-0.026,0.155,0.337,0.1591055207837807,Pegboard_DH_Drops
BDCPP,3y,-0.500,-0.198,0.104,0.28083486789274015,Pegboard_DH_Drops
DBuP,birth,-0.041,0.182,0.405,0.17958904189468716,Pegboard_DH_Drops
DBuP,prenatal,-0.586,-0.199,0.187,0.3962959454364233,Pegboard_DH_Drops
DBuP,3y,-0.041,0.182,0.405,0.17958904189468716,Pegboard_DH_Drops
DPHP,birth,-0.312,-0.124,0.063,0.27470899626260525,Pegboard_DH_Drops
DPHP,prenatal,-0.130,0.175,0.481,0.34467316809947435,Pegboard_DH_Drops
DPHP,3y,-0.312,-0.124,0.063,0.27470899626260525,Pegboard_DH_Drops
BCEtP,birth,-1.453,0.396,2.246,0.7246359267858166,Pegboard_NDH_Seconds
BCEtP,prenatal,-1.453,0.396,2.246,0.7246359267858166,Pegboard_NDH_Seconds
BCEtP,3y,-1.453,0.396,2.246,0.7246359267858166,Pegboard_NDH_Seconds
BDCPP,birth,-1.801,0.212,2.225,0.8622293735400858,Pegboard_NDH_Seconds
BDCPP,prenatal,-1.801,0.212,2.225,0.8622293735400858,Pegboard_NDH_Seconds
BDCPP,3y,-1.801,0.212,2.225,0.8622293735400858,Pegboard_NDH_Seconds
DBuP,birth,-4.416,-0.775,2.866,0.7259440943548938,Pegboard_NDH_Seconds
DBuP,prenatal,-4.667,-1.020,2.626,0.6449600830130238,Pegboard_NDH_Seconds
DBuP,3y,-3.718,-0.543,2.631,0.7780154073168118,Pegboard_NDH_Seconds
DPHP,birth,-2.911,-0.755,1.401,0.5646157595238719,Pegboard_NDH_Seconds
DPHP,prenatal,-2.911,-0.755,1.401,0.5646157595238719,Pegboard_NDH_Seconds
DPHP,3y,-2.911,-0.755,1.401,0.5646157595238719,Pegboard_NDH_Seconds
BCEtP,birth,-0.062,0.080,0.222,0.35233690180008526,Pegboard_NDH_Drops
BCEtP,prenatal,-0.062,0.080,0.222,0.35233690180008526,Pegboard_NDH_Drops
BCEtP,3y,-0.062,0.080,0.222,0.35233690180008526,Pegboard_NDH_Drops
BDCPP,birth,-0.353,-0.086,0.181,0.5967959222635535,Pegboard_NDH_Drops
BDCPP,prenatal,-0.256,0.020,0.295,0.9053621149884216,Pegboard_NDH_Drops
BDCPP,3y,-0.420,-0.141,0.137,0.4021802322012463,Pegboard_NDH_Drops
DBuP,birth,-0.462,-0.130,0.202,0.5206315190456261,Pegboard_NDH_Drops
DBuP,prenatal,-0.501,-0.155,0.191,0.4600802843009806,Pegboard_NDH_Drops
DBuP,3y,0.020,0.224,0.428,0.07135888290057846,Pegboard_NDH_Drops
DPHP,birth,-0.079,0.083,0.245,0.4015841267658715,Pegboard_NDH_Drops
DPHP,prenatal,-0.079,0.083,0.245,0.4015841267658715,Pegboard_NDH_Drops
DPHP,3y,-0.079,0.083,0.245,0.4015841267658715,Pegboard_NDH_Drops
BCEtP,birth,-0.069,1.207,2.484,0.11973720111061825,BRIEF_Child_BRI
BCEtP,prenatal,-0.069,1.207,2.484,0.11973720111061825,BRIEF_Child_BRI
BCEtP,3y,-0.069,1.207,2.484,0.11973720111061825,BRIEF_Child_BRI
BDCPP,birth,-1.162,0.343,1.849,0.7077151739719986,BRIEF_Child_BRI
BDCPP,prenatal,-1.162,0.343,1.849,0.7077151739719986,BRIEF_Child_BRI
BDCPP,3y,-1.162,0.343,1.849,0.7077151739719986,BRIEF_Child_BRI
DBuP,birth,-0.659,0.968,2.595,0.3276532893004651,BRIEF_Child_BRI
DBuP,prenatal,-0.659,0.968,2.595,0.3276532893004651,BRIEF_Child_BRI
DBuP,3y,-0.659,0.968,2.595,0.3276532893004651,BRIEF_Child_BRI
DPHP,birth,0.197,1.905,3.613,0.06655136324275124,BRIEF_Child_BRI
DPHP,prenatal,0.197,1.905,3.613,0.06655136324275124,BRIEF_Child_BRI
DPHP,3y,0.197,1.905,3.613,0.06655136324275124,BRIEF_Child_BRI
BCEtP,birth,-0.094,1.123,2.339,0.12897531224003556,BRIEF_Child_ERI
BCEtP,prenatal,-0.094,1.123,2.339,0.12897531224003556,BRIEF_Child_ERI
BCEtP,3y,-0.094,1.123,2.339,0.12897531224003556,BRIEF_Child_ERI
BDCPP,birth,-1.578,-0.134,1.310,0.8787318221910698,BRIEF_Child_ERI
BDCPP,prenatal,-1.578,-0.134,1.310,0.8787318221910698,BRIEF_Child_ERI
BDCPP,3y,-1.578,-0.134,1.310,0.8787318221910698,BRIEF_Child_ERI
DBuP,birth,-1.479,-0.071,1.338,0.9343539240370032,BRIEF_Child_ERI
DBuP,prenatal,-0.472,2.045,4.562,0.1813164355327177,BRIEF_Child_ERI
DBuP,3y,-1.479,-0.071,1.338,0.9343539240370032,BRIEF_Child_ERI
DPHP,birth,-0.054,1.375,2.805,0.11360996932312606,BRIEF_Child_ERI
DPHP,prenatal,-3.391,-0.964,1.463,0.5132679832155537,BRIEF_Child_ERI
DPHP,3y,-0.054,1.375,2.805,0.11360996932312606,BRIEF_Child_ERI
BCEtP,birth,-0.175,0.907,1.989,0.1679649193950158,BRIEF_Child_CRI
BCEtP,prenatal,-0.175,0.907,1.989,0.1679649193950158,BRIEF_Child_CRI
BCEtP,3y,-0.175,0.907,1.989,0.1679649193950158,BRIEF_Child_CRI
BDCPP,birth,-1.400,-0.020,1.360,0.9812700162142728,BRIEF_Child_CRI
BDCPP,prenatal,-1.400,-0.020,1.360,0.9812700162142728,BRIEF_Child_CRI
BDCPP,3y,-1.400,-0.020,1.360,0.9812700162142728,BRIEF_Child_CRI
DBuP,birth,-1.126,0.301,1.728,0.7284493235164062,BRIEF_Child_CRI
DBuP,prenatal,-1.126,0.301,1.728,0.7284493235164062,BRIEF_Child_CRI
DBuP,3y,-1.126,0.301,1.728,0.7284493235164062,BRIEF_Child_CRI
DPHP,birth,-0.791,0.840,2.471,0.3969404485451026,BRIEF_Child_CRI
DPHP,prenatal,-0.791,0.840,2.471,0.3969404485451026,BRIEF_Child_CRI
DPHP,3y,-0.791,0.840,2.471,0.3969404485451026,BRIEF_Child_CRI
BCEtP,birth,0.043,1.152,2.262,0.08738580114709615,BRIEF_Child_GEC
BCEtP,prenatal,0.043,1.152,2.262,0.08738580114709615,BRIEF_Child_GEC
BCEtP,3y,0.043,1.152,2.262,0.08738580114709615,BRIEF_Child_GEC
BDCPP,birth,-1.385,0.052,1.490,0.9521570021707959,BRIEF_Child_GEC
BDCPP,prenatal,-1.385,0.052,1.490,0.9521570021707959,BRIEF_Child_GEC
BDCPP,3y,-1.385,0.052,1.490,0.9521570021707959,BRIEF_Child_GEC
DBuP,birth,-1.022,0.392,1.806,0.6483510920149315,BRIEF_Child_GEC
DBuP,prenatal,-1.022,0.392,1.806,0.6483510920149315,BRIEF_Child_GEC
DBuP,3y,-1.022,0.392,1.806,0.6483510920149315,BRIEF_Child_GEC
DPHP,birth,-0.251,1.353,2.956,0.16530196734180502,BRIEF_Child_GEC
