id,variable,group,birth,3y,prenatal,5-8y
1,BCEP,Chem. Mix.,1,1,1,1
2,DPHP,Chem. Mix.,0,1,0,1
3,BDCIPP,Chem. Mix.,1,1,0,1
4,caudalmiddlefrontal (Vol.),Motor,1,0,0,0
5,lateraloccipital (Vol.),Vision,0,1,0,0
6,lateralorbitofrontal (Vol.),Cognition,1,0,0,0
7,paracentral (Vol.),Motor,1,1,1,0
8,parstriangularis (Vol.),Language,0,0,0,1
9,pericalcarine (Vol.),Vision,0,1,0,1
10,rh_caudalanteriorcingulate (Vol.),Cognition,1,0,0,0
11,insula (CT),Cognition,1,0,0,0
12,lh_posteriorcingulate (CT),Cognition,0,0,0,1
13,paracentral (CT),Motor,0,1,0,0
14,precentral (CT),Motor,0,1,0,0
15,rh_frontalpole (CT),Cognition,0,0,0,1
