term,window,conf.low,estimate,conf.high,p.value,outcome
OPE,prenatal,0.806,14.910,29.013,0.084,third_Ventricle
OPE,prenatal,-45.655,-4.929,35.798,0.842,fourth_Ventricle
OPE,prenatal,-166.544,-29.061,108.422,0.728,Brain_Stem
OPE,prenatal,-24.962,-11.459,2.044,0.165,CSF
OPE,prenatal,-2.387,0.443,3.274,0.797,Optic_Chiasm
OPE,prenatal,-20.330,-11.751,-3.171,0.026,CC_Posterior
OPE,prenatal,-10.268,-3.957,2.355,0.304,CC_Mid_Posterior
OPE,prenatal,-13.693,-3.135,7.423,0.626,CC_Central
OPE,prenatal,-13.310,-1.127,11.055,0.879,CC_Mid_Anterior
OPE,prenatal,-18.500,-9.513,-0.525,0.083,CC_Anterior
OPE,prenatal,-3458.040,2248.536,7955.112,0.518,BrainSegVol
OPE,prenatal,-284.657,-16.007,252.644,0.922,SubCortGrayVol
OPE,prenatal,-1620.065,1425.560,4471.184,0.442,TotalGrayVol
OPE,prenatal,-3098.818,2305.612,7710.043,0.484,SupraTentorialVol
OPE,prenatal,-1.997,7.759,17.515,0.193,Left_Inf_Lat_Vent
OPE,prenatal,-2.396,-0.538,1.320,0.634,Left_vessel
OPE,prenatal,-2.343,7.308,16.960,0.215,Right_Inf_Lat_Vent
OPE,prenatal,-0.149,1.138,2.425,0.148,Right_vessel
OPE,prenatal,7.538,201.037,394.537,0.089,Lateral_Ventricle
OPE,prenatal,-110.179,36.001,182.182,0.686,Cerebellum_White_Matter
OPE,prenatal,-365.395,-70.303,224.790,0.696,Cerebellum_Cortex
OPE,prenatal,-51.309,-10.604,30.101,0.669,Thalamus_Proper
OPE,prenatal,-23.573,8.440,40.452,0.665,Caudate
OPE,prenatal,-63.424,-24.138,15.148,0.314,Putamen
OPE,prenatal,-14.062,-1.692,10.679,0.822,Pallidum
OPE,prenatal,-16.091,6.385,28.860,0.641,Hippocampus
OPE,prenatal,-2.200,10.963,24.127,0.173,Amygdala
OPE,prenatal,-4.170,2.305,8.780,0.559,Accumbens_area
OPE,prenatal,-28.791,-5.274,18.244,0.713,VentralDC
OPE,prenatal,-13.247,-5.015,3.217,0.318,choroid_plexus
OPE,prenatal,-628.112,755.919,2139.950,0.370,CortexVol
OPE,prenatal,-1298.741,172.740,1644.220,0.847,CerebralWhiteMatterVol
OPE,prenatal,-249.624,220.107,689.837,0.442,surface_area
OPE,prenatal,-3358.267,2277.597,7913.461,0.507,total_brain
OPE,birth,-6.226,9.143,24.513,0.330,third_Ventricle
OPE,birth,-45.979,-1.445,43.090,0.958,fourth_Ventricle
OPE,birth,-79.358,69.345,218.049,0.444,Brain_Stem
OPE,birth,-2.831,12.282,27.395,0.184,CSF
OPE,birth,-3.513,-0.459,2.595,0.805,Optic_Chiasm
OPE,birth,-8.355,1.086,10.527,0.850,CC_Posterior
OPE,birth,-12.431,-5.808,0.814,0.151,CC_Mid_Posterior
OPE,birth,0.126,10.952,21.777,0.098,CC_Central
OPE,birth,-4.514,7.868,20.250,0.298,CC_Mid_Anterior
OPE,birth,-12.619,-2.829,6.960,0.635,CC_Anterior
OPE,birth,958.092,6984.550,13011.009,0.059,BrainSegVol
OPE,birth,-168.599,119.337,407.274,0.497,SubCortGrayVol
OPE,birth,551.379,3694.270,6837.161,0.055,TotalGrayVol
OPE,birth,1134.814,6872.977,12611.141,0.051,SupraTentorialVol
OPE,birth,-16.675,-6.409,3.858,0.306,Left_Inf_Lat_Vent
OPE,birth,-2.557,-0.433,1.692,0.738,Left_vessel
OPE,birth,-12.709,-1.949,8.811,0.766,Right_Inf_Lat_Vent
OPE,birth,-0.776,0.615,2.005,0.468,Right_vessel
OPE,birth,-196.954,12.064,221.081,0.925,Lateral_Ventricle
OPE,birth,-78.838,75.905,230.648,0.421,Cerebellum_White_Matter
OPE,birth,-334.627,-19.493,295.642,0.919,Cerebellum_Cortex
OPE,birth,-9.694,32.547,74.789,0.207,Thalamus_Proper
OPE,birth,-33.138,1.743,36.624,0.935,Caudate
