term,window,conf.low,estimate,conf.high,p.value,outcome
BCEtP,birth,-32.393,-4.055,24.284,0.8139469126226657,third_Ventricle
BCEtP,prenatal,-14.614,28.574,71.763,0.27611037581492154,third_Ventricle
BCEtP,3y,-32.393,-4.055,24.284,0.8139469126226657,third_Ventricle
BDCPP,birth,-34.426,-6.790,20.846,0.6861140024718109,third_Ventricle
BDCPP,prenatal,-34.426,-6.790,20.846,0.6861140024718109,third_Ventricle
BDCPP,3y,-34.426,-6.790,20.846,0.6861140024718109,third_Ventricle
DBuP,birth,-52.410,-20.631,11.147,0.2855818660770669,third_Ventricle
DBuP,prenatal,-52.410,-20.631,11.147,0.2855818660770669,third_Ventricle
DBuP,3y,-52.410,-20.631,11.147,0.2855818660770669,third_Ventricle
DPHP,birth,-22.565,4.586,31.738,0.7811284929703612,third_Ventricle
DPHP,prenatal,-22.565,4.586,31.738,0.7811284929703612,third_Ventricle
DPHP,3y,-22.565,4.586,31.738,0.7811284929703612,third_Ventricle
BCEtP,birth,-18.768,49.093,116.953,0.23406745101706183,fourth_Ventricle
BCEtP,prenatal,-18.768,49.093,116.953,0.23406745101706183,fourth_Ventricle
BCEtP,3y,-18.768,49.093,116.953,0.23406745101706183,fourth_Ventricle
BDCPP,birth,-39.639,33.015,105.669,0.45479348527586017,fourth_Ventricle
BDCPP,prenatal,-39.639,33.015,105.669,0.45479348527586017,fourth_Ventricle
BDCPP,3y,-39.639,33.015,105.669,0.45479348527586017,fourth_Ventricle
DBuP,birth,-140.533,-37.135,66.262,0.5546897431989082,fourth_Ventricle
DBuP,prenatal,-140.533,-37.135,66.262,0.5546897431989082,fourth_Ventricle
DBuP,3y,-140.533,-37.135,66.262,0.5546897431989082,fourth_Ventricle
DPHP,birth,-4.314,88.872,182.058,0.11671783386619783,fourth_Ventricle
DPHP,prenatal,-4.314,88.872,182.058,0.11671783386619783,fourth_Ventricle
DPHP,3y,-4.314,88.872,182.058,0.11671783386619783,fourth_Ventricle
BCEtP,birth,-271.581,82.071,435.722,0.7026716287815491,Brain_Stem
